u,v,highway,street_name,is_screened_candidate,length_m,free_flow_time_min,capacity_veh_hr,baseline_flow,vc_ratio,system_cost_without,system_cost_baseline,delta_cost,pct_change,is_braess,convergence_gap,reliable,braess_mag,braess_norm,vc_redundancy,redundancy_score,betweenness
5942550426,11494201269,primary,(unnamed road),True,36.8,0.037,1500,699.88,0.4666,25665.7313,27807.8521,-2142.1208,-7.7033,True,7.207996197206533e-05,True,2142.1208,0.9950607912089525,0.5334,0.8103964747253715,0.05247301433864991
11494201269,11494185466,primary,(unnamed road),True,10.6,0.011,1500,699.88,0.4666,25665.7313,27807.8521,-2142.1208,-7.7033,True,7.207996197206643e-05,True,2142.1208,0.9950607912089525,0.5334,0.8103964747253715,0.05202191074593201
11494185467,3149542141,residential,(unnamed road),True,113.4,0.227,400,400.0,1.0,25655.0984,27807.8521,-2152.7537,-7.7415,True,7.210996698142646e-05,True,2152.7537,1.0,0.0,0.6,0.04437570484936362
3145224313,307407124,tertiary,(unnamed road),False,15.8,0.024,700,200.0,0.2857,26975.9517,27807.8521,-831.9004,-2.9916,True,6.974882747879062e-05,True,831.9004,0.3864354756421972,0.7142999999999999,0.5175812853853183,0.006586112453681328
1607769715,306850813,residential,(unnamed road),True,91.5,0.183,400,400.0,1.0,26100.3251,27807.8521,-1707.527,-6.1404,True,8.095547546096238e-05,True,1707.527,0.7931827036228064,0.0,0.4759096221736838,0.013062671177702594
7265495338,7265495340,tertiary,(unnamed road),False,8.6,0.013,700,100.0,0.1429,27915.4356,27807.8521,107.5835,0.3869,False,5.928368572588957e-05,True,0.0,0.0,0.8571,0.34284000000000003,0.01582406959884002
254920217,308920401,tertiary,(unnamed road),False,56.1,0.084,700,100.0,0.1429,27874.3664,27807.8521,66.5143,0.2392,False,6.838588928787872e-05,True,0.0,0.0,0.8571,0.34284000000000003,0.03878202029966167
363763159,304964733,tertiary,(unnamed road),False,66.0,0.099,700,100.0,0.1429,27832.3265,27807.8521,24.4745,0.088,False,7.219038894521912e-05,True,0.0,0.0,0.8571,0.34284000000000003,0.023827936201063316
1469644231,4533883479,tertiary,(unnamed road),False,9.7,0.015,700,100.0,0.1429,27815.148,27807.8521,7.296,0.0262,False,7.369321041896367e-05,True,0.0,0.0,0.8571,0.34284000000000003,0.002832286128564524
3870459135,3870459137,residential,(unnamed road),False,47.1,0.094,400,95.45,0.2386,27807.1065,27807.8521,-0.7455,-0.0027,True,9.364587417854214e-05,True,0.7455,0.0003463006473987247,0.7614,0.3047677803884392,0.003254390204607701
3740962134,2228225858,residential,(unnamed road),False,27.7,0.055,400,100.0,0.25,27816.8461,27807.8521,8.994,0.0323,False,7.368817224396128e-05,True,0.0,0.0,0.75,0.30000000000000004,0.01971000483325278
650085372,12451306641,primary,(unnamed road),True,262.8,0.263,1500,400.0,0.2667,28328.2946,27807.8521,520.4425,1.8716,False,6.343640014152581e-05,True,0.0,0.0,0.7333000000000001,0.29332,0.047207990977928146
443224605,309592832,primary,(unnamed road),True,148.6,0.149,1500,400.04,0.2667,27965.4152,27807.8521,157.5632,0.5666,False,7.728865803261403e-05,True,0.0,0.0,0.7333000000000001,0.29332,0.12923795714515868
260911861,11809900885,primary,(unnamed road),True,15.5,0.015,1500,400.0,0.2667,27962.9731,27807.8521,155.121,0.5578,False,7.648453504504997e-05,True,0.0,0.0,0.7333000000000001,0.29332,0.03879813114225874
17327141,956271740,primary,(unnamed road),True,56.4,0.056,1500,400.0,0.2667,27855.2515,27807.8521,47.3994,0.1705,False,6.47745669232631e-05,True,0.0,0.0,0.7333000000000001,0.29332,0.06351216368616078
1723827217,11306430808,primary,(unnamed road),True,21.0,0.021,1500,400.0,0.2667,28328.2946,27807.8521,520.4425,1.8716,False,6.343640014152581e-05,True,0.0,0.0,0.7333000000000001,0.29332,0.0468664411148703
