u,v,highway,street_name,is_screened_candidate,length_m,free_flow_time_min,capacity_veh_hr,baseline_flow,vc_ratio,system_cost_without,system_cost_baseline,delta_cost,pct_change,is_braess,convergence_gap,reliable,braess_mag,braess_norm,vc_redundancy,redundancy_score,betweenness
1805801992,12642655905,residential,(unnamed road),False,106.0,0.212,400,200.0,0.5,29042.0794,30426.7521,-1384.6727,-4.5508,True,0.0001201784146728013,True,1384.6727,1.0,0.5,0.8,0.01384340729405764
250100261,250100198,residential,(unnamed road),True,375.1,0.75,400,399.88,0.9997,29567.8879,30426.7521,-858.8642,-2.8227,True,0.00016327077212902874,True,858.8642,0.6202651355804154,0.00029999999999996696,0.3722790813482492,0.054715633766896206
5377606473,11919464274,tertiary,Nandi Vithi Marg,False,48.6,0.073,700,124.35,0.1776,30428.9754,30426.7521,2.2233,0.0073,False,0.00010746703832046798,True,0.0,0.0,0.8224,0.32896000000000003,0.0023871461361897476
464963949,464963953,primary,Mathura Road,True,34.4,0.034,1500,600.0,0.4,30258.862,30426.7521,-167.8901,-0.5518,True,0.00011531718767703366,True,167.8901,0.12124894207851428,0.6,0.31274936524710856,0.06559041060953838
464963953,464963956,primary,Mathura Road,True,32.0,0.032,1500,600.0,0.4,30258.862,30426.7521,-167.8901,-0.5518,True,0.00011531718767703366,True,167.8901,0.12124894207851428,0.6,0.31274936524710856,0.06682989033409845
4212134649,464963949,primary,Mathura Road,True,58.8,0.059,1500,600.0,0.4,30258.862,30426.7521,-167.8901,-0.5518,True,0.00011531718767702989,True,167.8901,0.12124894207851428,0.6,0.31274936524710856,0.06635552155062484
4212134662,4212134649,primary,Mathura Road,True,86.1,0.086,1500,600.0,0.4,30258.862,30426.7521,-167.8901,-0.5518,True,0.00011531718767702989,True,167.8901,0.12124894207851428,0.6,0.31274936524710856,0.06865085437388421
464963956,442789388,primary,Mahatma Gandhi Marg,True,29.3,0.029,1500,600.0,0.4,30258.862,30426.7521,-167.8901,-0.5518,True,0.00011531718767703366,True,167.8901,0.12124894207851428,0.6,0.31274936524710856,0.06606477939301199
4212134664,4212134662,primary,Mathura Road,True,28.8,0.029,1500,600.0,0.4,30258.862,30426.7521,-167.8901,-0.5518,True,0.00011531718767702989,True,167.8901,0.12124894207851428,0.6,0.31274936524710856,0.06350930884978322
464963941,4212134664,primary,Mathura Road,True,50.2,0.05,1500,600.0,0.4,30258.862,30426.7521,-167.8901,-0.5518,True,0.00011531718767703366,True,167.8901,0.12124894207851428,0.6,0.31274936524710856,0.06503953073195613
250100364,250100352,tertiary,(unnamed road),False,309.3,0.464,700,168.12,0.2402,30633.8665,30426.7521,207.1144,0.6807,False,0.00010852332498937508,True,0.0,0.0,0.7598,0.30392,0.02683499107370569
6484863890,9872142623,residential,(unnamed road),False,23.6,0.047,400,100.0,0.25,30442.2782,30426.7521,15.5262,0.051,False,0.00011871445398716733,True,0.0,0.0,0.75,0.30000000000000004,0.002616679418515685
9869694104,6660036386,residential,(unnamed road),False,102.0,0.204,400,100.0,0.25,30485.385,30426.7521,58.6329,0.1927,False,0.00011716476873745481,True,0.0,0.0,0.75,0.30000000000000004,0.011563376689619995
9869723959,9869723956,residential,(unnamed road),False,26.5,0.053,400,100.09,0.2502,30431.9373,30426.7521,5.1852,0.017,False,0.00011816383457519221,True,0.0,0.0,0.7498,0.29992,0.01117061973986228
563126473,4235038830,primary,Mahatma Gandhi Marg,True,5.5,0.005,1500,399.24,0.2662,30484.7117,30426.7521,57.9596,0.1905,False,0.00011583286955541999,True,0.0,0.0,0.7338,0.29352,0.08490181076256058
4235038830,5370211780,primary,Mahatma Gandhi Marg,True,238.9,0.239,1500,399.24,0.2662,30490.454,30426.7521,63.7019,0.2094,False,0.00012038663904653893,True,0.0,0.0,0.7338,0.29352,0.08337158888038766
5370211780,277420041,primary,Mahatma Gandhi Marg,True,267.5,0.267,1500,399.48,0.2663,30836.7859,30426.7521,410.0338,1.3476,False,8.727895220818585e-05,True,0.0,0.0,0.7337,0.29348,0.0707217546544249
6343485271,6343485272,tertiary,Feroze Gandhi Road,False,80.1,0.12,700,199.69,0.2853,30508.9978,30426.7521,82.2457,0.2703,False,0.00015202194171956698,True,0.0,0.0,0.7147,0.28588,0.01765876052027544
1763185621,1763185521,tertiary,(unnamed road),False,179.3,0.269,700,200.0,0.2857,30504.4896,30426.7521,77.7375,0.2555,False,0.0001293160894346524,True,0.0,0.0,0.7142999999999999,0.28572,0.03649069115021678
12216274745,6162782526,primary,(unnamed road),True,73.0,0.073,1500,438.34,0.2922,30527.301,30426.7521,100.5489,0.3305,False,0.0001055507920059326,True,0.0,0.0,0.7078,0.28312,0.06791634787044122
939270944,10581480482,secondary,Captain Gaur Marg,False,28.5,0.034,1000,300.09,0.3001,30834.3884,30426.7521,407.6363,1.3397,False,0.00011164482705852959,True,0.0,0.0,0.6999,0.27996,0.050920683499107375
10267141361,939270989,residential,(unnamed road),False,117.1,0.234,400,124.14,0.3103,30429.0323,30426.7521,2.2803,0.0075,False,0.00011484912114138102,True,0.0,0.0,0.6897,0.27588,0.0003417495536852844
12216274743,6777250826,primary,(unnamed road),True,38.8,0.039,1500,499.82,0.3332,30720.0915,30426.7521,293.3395,0.9641,False,0.00012044832247986923,True,0.0,0.0,0.6668000000000001,0.26672,0.1085182351440959
12151539973,464963941,primary,Mathura Road,True,14.8,0.015,1500,500.0,0.3333,30774.9896,30426.7521,348.2375,1.1445,False,0.00012083349531473885,True,0.0,0.0,0.6667000000000001,0.26668000000000003,0.06886508543738842
442789388,4676940461,primary,Mahatma Gandhi Marg,True,50.1,0.05,1500,500.0,0.3333,30774.9896,30426.7521,348.2375,1.1445,False,0.00012083349531474254,True,0.0,0.0,0.6667000000000001,0.26668000000000003,0.06414180056108136
6543707228,11644888240,primary,Mathura Road,True,32.2,0.032,1500,568.06,0.3787,31320.3189,30426.7521,893.5668,2.9368,False,9.162137934963655e-05,True,0.0,0.0,0.6213,0.24852,0.052879367508288706
367263013,11644888218,primary,Mathura Road,True,198.8,0.199,1500,568.31,0.3789,31074.913,30426.7521,648.1609,2.1302,False,0.00016303166692920788,True,0.0,0.0,0.6211,0.24844,0.059755164498852334
11644888218,6543707228,primary,Mathura Road,True,18.9,0.019,1500,568.31,0.3789,31074.913,30426.7521,648.1609,2.1302,False,0.00016303166692920973,True,0.0,0.0,0.6211,0.24844,0.05899005355776588
6543736232,464964115,primary,Mahatma Gandhi Marg,True,10.8,0.011,1500,568.31,0.3789,31157.5613,30426.7521,730.8093,2.4019,False,0.00014821646314412213,True,0.0,0.0,0.6211,0.24844,0.07567967355266514
563126306,563126287,secondary,Josip Broz Tito Marg,False,69.2,0.083,1000,399.79,0.3998,30669.1972,30426.7521,242.4452,0.7968,False,0.00010318217637964861,True,0.0,0.0,0.6002000000000001,0.24008000000000004,0.050385105840346854
442789382,9873688727,primary,Ashram Railway Flyover,True,374.4,0.374,1500,600.0,0.4,37693.2406,30426.7521,7266.4886,23.8819,False,0.00035957745350352773,True,0.0,0.0,0.6,0.24,0.07539403213465953
4676940461,442789382,primary,Mahatma Gandhi Marg,True,134.4,0.134,1500,600.0,0.4,37693.2406,30426.7521,7266.4886,23.8819,False,0.0003595774535035278,True,0.0,0.0,0.6,0.24,0.07615914307574599
2150502807,2263000355,residential,(unnamed road),False,66.7,0.133,400,168.0,0.42,30511.8354,30426.7521,85.0834,0.2796,False,0.00010399211116380638,True,0.0,0.0,0.5800000000000001,0.23200000000000004,0.007569497577148687
5377606473,5536223421,tertiary,Nandi Vithi Marg,False,91.0,0.137,700,299.79,0.4283,30552.3198,30426.7521,125.5677,0.4127,False,0.0001200878989775051,True,0.0,0.0,0.5717,0.22868,0.010604437643458302
6162782526,1763185499,primary_link,Mahatma Gandhi Marg,True,121.7,0.146,1000,438.58,0.4386,30722.5762,30426.7521,295.8242,0.9723,False,0.00011778657559332501,True,0.0,0.0,0.5614,0.22456,0.08311655190002551
6342954069,2127415646,secondary,Lala Lajpat Rai Path,True,293.0,0.352,1000,439.31,0.4393,30487.4493,30426.7521,60.6972,0.1995,False,0.0001180619368015857,True,0.0,0.0,0.5607,0.22428,0.048013261922978834
464964115,367263013,primary_link,(unnamed road),True,51.4,0.062,1000,468.31,0.4683,30426.0719,30426.7521,-0.6801,-0.0022,True,0.00011549673291959685,True,0.6801,0.0004911630019137375,0.5317000000000001,0.21297469780114828,0.05945932160163224
6777250826,1794575954,primary_link,Mahatma Gandhi Marg,True,166.7,0.2,1000,499.82,0.4998,30500.0949,30426.7521,73.3429,0.241,False,9.659099461613099e-05,True,0.0,0.0,0.5002,0.20008,0.10918643203264473
1763185305,1763185415,primary_link,(unnamed road),True,69.3,0.083,1000,500.0,0.5,30466.2639,30426.7521,39.5118,0.1299,False,0.0001054732234154842,True,0.0,0.0,0.5,0.2,0.05610303494006631
9873688727,1740169861,primary,Mahatma Gandhi Marg,True,24.0,0.024,1500,800.0,0.5333,32452.845,30426.7521,2026.0929,6.6589,False,0.00021082396996336165,True,0.0,0.0,0.4667,0.18668,0.10852843662331038
563155228,442789385,primary,Ashram Railway Flyover,True,397.7,0.398,1500,832.0,0.5547,41186.2954,30426.7521,10759.5434,35.3621,False,0.0005254369349811501,True,0.0,0.0,0.44530000000000003,0.17812000000000003,0.07203264473348636
442789385,6543736232,primary,Mahatma Gandhi Marg,True,153.5,0.153,1500,832.0,0.5547,41186.2954,30426.7521,10759.5434,35.3621,False,0.0005254369349811555,True,0.0,0.0,0.44530000000000003,0.17812000000000003,0.0712675337923999
939270582,563155208,primary_link,Mahatma Gandhi Marg,True,13.3,0.016,1000,568.0,0.568,31102.8358,30426.7521,676.0837,2.222,False,0.00012654958642530661,True,0.0,0.0,0.43200000000000005,0.17280000000000004,0.06197398622800306
563155208,5449763862,primary_link,Mahatma Gandhi Marg,True,46.0,0.055,1000,568.0,0.568,31102.8358,30426.7521,676.0837,2.222,False,0.0001265495864253057,True,0.0,0.0,0.43200000000000005,0.17280000000000004,0.06332058148431523
12096733606,4235039177,residential,(unnamed road),False,41.3,0.083,400,299.79,0.7495,30433.8507,30426.7521,7.0987,0.0233,False,0.00010596746147383562,True,0.0,0.0,0.25049999999999994,0.10019999999999998,0.004549859729660801
9713050826,1805872416,residential,Church Road,True,355.3,0.711,400,332.0,0.83,30535.3265,30426.7521,108.5744,0.3568,False,0.00011888141351193829,True,0.0,0.0,0.17000000000000004,0.06800000000000002,0.017714868655955115
6758880251,6114610823,tertiary,Kalka Devi Marg,True,48.4,0.073,700,1261.28,1.8018,30394.818,30426.7521,-31.934,-0.105,True,8.941646264585408e-05,True,31.934,0.023062489785492267,0.0,0.01383749387129536,0.08206579954093345
1805785701,1788608644,tertiary,Veer Savarkar Marg,True,319.1,0.479,700,685.4,0.9791,30787.1045,30426.7521,360.3525,1.1843,False,3.107885337341387e-05,True,0.0,0.0,0.02090000000000003,0.008360000000000012,0.04990563631726601
250100352,250100364,tertiary,(unnamed road),True,309.3,0.464,700,699.67,0.9995,31487.5298,30426.7521,1060.7777,3.4863,False,0.00010501678643002462,True,0.0,0.0,0.0004999999999999449,0.00019999999999997797,0.05999489926039276
6543707251,6616415230,residential,(unnamed road),True,23.6,0.047,400,832.0,2.08,36737.1445,30426.7521,6310.3924,20.7396,False,0.00042680118357181024,True,0.0,0.0,0.0,0.0,0.06408569242540169
6436233354,6616415230,residential,(unnamed road),True,122.4,0.245,400,400.0,1.0,33583.2322,30426.7521,3156.4802,10.374,False,0.00019086086659756912,True,0.0,0.0,0.0,0.0,0.04546289211935731
6616415228,12151539973,residential,(unnamed road),True,73.4,0.147,400,500.0,1.25,30774.9896,30426.7521,348.2375,1.1445,False,0.00012083349531474254,True,0.0,0.0,0.0,0.0,0.06963019637847488
